"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 09, 2020","1,947.80","1,930.50","1,956.20","1,929.50","0.23K","1.62%"
"Oct 08, 2020","1,916.80","1,902.80","1,916.20","1,899.00","0.21K","0.27%"
"Oct 07, 2020","1,911.60","1,894.50","1,911.40","1,890.00","0.19K","-0.87%"
"Oct 06, 2020","1,928.30","1,937.20","1,942.20","1,900.50","0.10K","-0.55%"
"Oct 05, 2020","1,939.00","1,937.00","1,937.00","1,937.00","0.11K","0.64%"
"Oct 02, 2020","1,926.60","1,929.60","1,933.70","1,921.30","0.12K","-0.45%"
"Oct 01, 2020","1,935.40","1,927.60","1,935.50","1,921.20","0.18K","1.09%"
"Sep 30, 2020","1,914.60","1,915.30","1,918.90","1,905.20","0.05K","-0.39%"
"Sep 29, 2020","1,922.10","1,907.40","1,921.20","1,907.40","0.05K","1.11%"
"Sep 28, 2020","1,901.00","1,883.70","1,905.50","1,872.00","0.35K","0.86%"
"Sep 25, 2020","1,884.80","1,885.10","1,885.10","1,880.00","0.06K","-0.53%"
"Sep 24, 2020","1,894.90","1,879.90","1,892.60","1,874.70","0.26K","0.42%"
"Sep 23, 2020","1,887.00","1,924.60","1,924.60","1,876.30","0.57K","-2.10%"
"Sep 22, 2020","1,927.50","1,937.90","1,940.50","1,925.50","0.09K","-0.13%"
"Sep 21, 2020","1,930.00","1,978.20","1,978.90","1,913.50","0.19K","-2.62%"
"Sep 18, 2020","1,981.90","1,974.20","1,982.00","1,973.60","0.08K","0.64%"
"Sep 17, 2020","1,969.30","1,970.80","1,974.40","1,965.30","0.13K","-1.07%"
"Sep 16, 2020","1,990.70","1,989.10","1,997.90","1,985.00","0.11K","0.22%"
"Sep 15, 2020","1,986.40","1,986.10","1,997.50","1,981.00","0.04K","0.13%"
"Sep 14, 2020","1,983.90","1,974.10","1,987.80","1,972.80","0.12K","0.84%"
"Sep 11, 2020","1,967.40","1,971.30","1,975.80","1,966.50","0.10K","-0.80%"
"Sep 10, 2020","1,983.20","1,971.10","1,991.40","1,969.40","0.21K","0.52%"
"Sep 09, 2020","1,972.90","1,952.90","1,973.60","1,946.40","0.21K","0.57%"
"Sep 08, 2020","1,961.80","1,957.50","1,965.90","1,938.80","0.88K","1.28%"
"Sep 07, 2020","1,937.10","1,940.70","1,947.40","1,930.45","-","-0.18%"
"Sep 06, 2020","1,940.65","1,941.90","1,944.30","1,937.65","-","-0.62%"
"Sep 04, 2020","1,952.80","1,956.60","1,959.50","1,951.90","0.17K","-0.16%"
"Sep 03, 2020","1,956.00","1,970.00","1,972.80","1,953.10","0.73K","-0.43%"
"Sep 02, 2020","1,964.50","1,988.30","1,990.90","1,959.90","0.70K","-1.72%"
"Sep 01, 2020","1,998.80","2,018.60","2,018.60","1,995.00","0.24K","-0.02%"
"Aug 31, 2020","1,999.10","1,991.10","2,002.30","1,991.10","0.28K","0.30%"
"Aug 28, 2020","1,993.20","1,956.50","1,992.70","1,951.30","0.31K","2.05%"
"Aug 27, 2020","1,953.10","1,970.10","1,970.30","1,940.70","0.17K","-1.08%"
"Aug 26, 2020","1,974.40","1,952.90","1,952.90","1,942.10","0.16K","1.50%"
"Aug 25, 2020","1,945.20","1,965.20","1,965.20","1,944.00","0.02K","-0.87%"
